title,ingredients,method
"Pheasant Jubilee
","[['4 pheasants, quartered', 'Flour', '1/2 butter or maragarine', '1 onion chopped', '1/2 cup golden raisins', '1 cup chili Sauce', '1/2 water', '1/2 brown sugar', '2 tablespoons Worchesershire sauce', '1/4 teaspoon garlic powder', '1 cup Sherry', '1 (1-Ib.) can pitted dark sweet cherries, drained']]","[['Dust pheasants with flour. Melt butter in a heavy skillet: brown', 'birds thoroughly. Place pheasants in a deep casserole. In the same', 'skillet, combine onion, raisins, chili sauce, water, brown sugar,', 'Worchestershire sauce and garlic; boil briefly, scraping browned meat', 'from bottom and sides of pan; pour over pheasants. Bake covered, in', 'a moderately slow oven (325F) for 1 1/2 hours. remove cover; add', 'sherry and cherries. Continue baking 20 minutes longer. To serve,', 'transfer to a deep chafing or warming dish. This works well with', 'wild rice and a fresh green vegetable.']]"
"Lemon-Coriander Game Hens
","[['1/3 cup fresh lemon juice', '1 green onion, minced', '3 tablespoons minced fresh cilantro', '2 garlic cloves, pressed'], ['2 Cornish game hens (1 1/2 pounds each), halved', '1 teaspoon ground coriander', '1 teaspoon ground turmeric']]","[['Rub game hens with coriander and turmeric. Set aside.', 'Combine remaining ingredients in medium baking dish. Add game', 'hens to marinade and turn to coat. Cover and refrigerate 6 hours', 'or overnight.', 'Prepare barbecue (medium-high heat) or preheat broiler. Remove', 'game hens from marinade. Season game hens with salt and pepper.', 'Grill or broil until cooked through, turning and basting', 'occasionally with marinade, 25 minutes.']]"
"Spicy Blackened Catfish
","[['2 teaspoons sweet paprika', '1/2 teaspoon dried oregano, crumbled', '1/2 teaspoon dried thyme, crumbled', '1/4 teaspoon cayenne, or to taste', '1/2 teaspoon sugar', '1/2 teaspoon salt', '1/4 teaspoon freshly ground black pepper', '2 Catfish fillets (about 1 pound)', '1 large garlic clove, sliced thin', '1 tablespoon olive oil', '1 tablespoon unsalted butter', 'lemon wedges as an accompaniment']]","[['In a small bowl combine the paprika, oregano, thyme, cayenne,', 'sugar, salt, and black pepper. Pat the catfish dry, and sprinkle', 'the spice mixture on both sides of the fillet, coating them well.', 'In a large skillet saute the garlic in the oil over moderately', 'high heat, stirring, until it is golden brown and discard the', 'garlic. Add the butter, heat it until the foam subsides, and in', 'the fat, saute the catfish for 4 minutes on each side, or until', 'it is cooked through. Transfer the catfish fillets with a slotted', 'spatula to 2 plates and serve them with the lemon wedges.']]"
"Roast Wild Turkey
","[['1 wild turkey 8 to 10 lbs', '1 lb. of pork sausage', '1/2 cup of butter', '1/2 lb. of sliced mushrooms', '2 stalks of chopped celery', '1 chopped onion', '2 garlic cloves, minced', '6 cups of bread cubes', '1 egg']]","[['Preheat oven to 325F.', 'If the wild taste is something you do not like, marinate the turkey', 'in buttermilk for 24 hours.', 'Brown the pork sausage in a skillet and drain the grease. Add the', 'butter, mushroom, garlic, onion, and celery to skillet and melt the', 'butter. Pour the mix over the bread cubes in a bowl and stir in the', 'egg. Clean inside and out and dry the turkey.', 'Stuff the prepared dressing into the cavity and place turkey ina', 'roasting pan. Place a meat thermometer in the breast of the turkey', 'avoiding the bones. Lightly rub oil over the turkey.', 'Cover the turkey loosely with foil. Place roasting pan in oven for', 'about 3 1/2 hours, occasionally basting with oil or butter. Remove', 'the foil and continue to roast for 30 min. The turkey is done when', 'the thermometer reads 185F.', 'Pull the turkey from the oven and let sit for 30 min.']]"
"Duck in Guinness and Honey
","[['1 duck, trussed', '2 This. oil', '2 This. honey', '1 Tbls. brown sugar', '1 cup Guinness', 'pinch each nutmeg and cinnamon', '1 1/4 cups demiglaze or duck stock', 'pinch each salt and pepper']]","[['Preheat oven to 475F.', 'Wash and truss the duck. Brush with oil and seal in a hot', 'oven until browned (about 10 to 12 minutes). Meanwhile, in', 'a heavy saucepan mix together the honey, sugar, Guinness and', 'spices and simmer for 10 minutes. Add demiglaze or stock and', 'continue cooking for another 15 minutes.', 'Season to taste with salt and pepper.', 'Reduce heat to 300F, cover the duck with the sauce and roast', 'for 60 to 75 minutes. Baste occasionally. Test with a fork.', 'If the sauce tastes too bitter at the end of cooking time, add', 'a little more honey. Remove from the oven and allow to rest', 'for a few minutes before carving.']]"
"E-Cookbooks Fish & Game Recipe Sampler
",[],"[['in a small amount of oil. Add to stew with parsley, salt and pepper', 'to taste.']]"
"Cream Of Crab Soup
","[['1 Small onion, finely chopped', '1 Tablespoon butter', '1 Cup chicken broth', '1 Quart Half & Half, or whole milk', '1 Tablespoon chopped parsley', '1/2 Teaspoon celery salt', '1/2 Teaspoon mace', '1 Dash cayenne', 'salt and fresh ground black pepper, to taste', '1 Pound crab meat, jumbo lump Maryland Blue Crab', '1/4 Cup sherry', '2 Tablespoons all-purpose flour,', 'mixed with 1 Tablespoon water or warm milk']]","[['In a large saucepan, cook onion in butter until transparent.', 'Add chicken broth and slowly pour in milk. Add all seasonings', 'except sherry. Add the crab meat (cleaned of all shells) and', 'simmer for 15 minutes.', 'Make a paste of about 2 tablespoon flour and a little water or', 'warm milk mixture. Stir paste into soup to thicken slightly.', 'Remove from heat, stir in sherry and serve.', 'Garnish with chopped parsley.']]"
"Venison Sirloin
","[['3 pieces of 2 0z. venison medallions', '1 oz. clarified butter or oil', '1 tbsp. chopped shallots', '1 teas. chopped parsley', '1 teas. chopped thyme', '1 teas. chopped tarragon', '4 oz. sliced wild mushrooms', '2 tbsp. grained mustard', '4 oz. heavy cream', '2 OZ. cognac', 'flour for dusting', 'salt & pepper to taste']]","[['In hot pan add butter. Dredge medallions in flour. Saute quickly.', 'Take out of pan and add shallots and herbs. Saute. Add mushrooms and', 'flambe with cognac. Add heavy cream and reduce until desired thickness.', 'Wisk in mustard. Add seasonings and medallions. Serve.']]"
"Baked Walleye with Carrots
","[['1 1/2 pounds walleye fillets, skin removed', '2 cups grated carrots', '3 tablespoons margarine or butter, melted', '2 tablespoons lemon juice', '1/4 teaspoon ground thyme', 'Salt to taste', '3 tablespoons margarine or butter', '3 1/2 tablespoons flour', 'Salt and pepper to taste', '1/3 cup milk']]","[['Heat oven to 450F. Spray a 13 x 9-inch baking dish with nonstick', 'vegetable cooking spray. Arrange fillets, slightly overlapping,', 'in prepared dish. Set aside. In medium bowl, combine carrots, melted', 'margarine, juice, thyme and salt. Spread mixture evenly over fillets.', 'Cover with foil. Bake for 25 to 30 minutes, or until fish is firm', 'and opaque and just begins to flake. Drain liquid from fish into', 'a 2-cup measure. Cover fish with foil to keep warm. Set aside. Add', 'water to liquid in cup to equal 1 1/3 cups.', 'In a 1-quart saucepan, melt 3 tablespoons margarine over medium', 'heat. Stir in flour, salt and pepper. Blend in cooking liquid mixture', 'and milk. Cook for 5 to 7 minutes or until mixture thickens and', 'bubbles, stirring constantly. Pour sauce evenly over fish and serve', 'over hot rice or linguine.']]"
"Oriental Glazed Duck
","[['1 -— 5 pound duck, rinsed, patted dry', '2 lemons, halved', 'salt and ground pepper to taste', '3/4 cup soy sauce', '3/4 cup ketchup', '1/3 cup liquid honey', '1/4 cup corn oil', '4 cloves garlic, finely chopped', '1 tbsp. rosemary', '2 green onions, thinly sliced for garnish']]","[['Preheat oven to 400F. Rub the duck inside and out with juice of', '1 lemon. Pat dry. Prick skin with fork. Sprinkle inside and outside', 'with salt and pepper. Place second lemon in cavity. Place duck,', 'breast side up on rack in shallow roasting pan. Bake for 30 minutes.', 'While duck is roasting, make glaze. Combine soy sauce, ketchup,', 'honey, oil, garlic and rosemary in small mixing bowl. Mix well.', 'Reduce oven temperature to 350F. Pour off fat. Pour glaze over duck.', 'Baste frequently and cook 1 hour and 15 minutes. Remove duck from', 'oven. Let stand 15 minutes. Skim off fat from roasting pan. Reheat', 'glaze, pour over duck and garnish with green onions.']]"
"Blackened Salmon
","[['6 Salmon Fillets, 1/2 — 3/4 inch thick, skinned', '2 1/2 cups unsalted butter or margarine', '1/2 cup fresh lemon juice', '1 1/2 teaspoons cayenne pepper', '1 teaspoon salt', '2 teaspoons fresh ground black pepper', '1 Tablespoon dried thyme (do not use fresh — it will burn)', 'Lemon wedges and Parsley for garnish']]","[['Trim off the thin edges of fillets as these would burn. Pat dry', 'and refrigerate until ready to cook. The butter sauce adheres', 'better to cold fillets.', 'In heavy 3-quart cast-iron frying pan over medium heat, melt', 'butter, add lemon juice, cayenne, salt, black pepper and thyme.', 'Stir to blend; cool to lukewarm.', 'Place an empty 10-inch cast-iron skillet over high heat until', 'bottom has a definite white haze and begins to smoke slightly.', 'Remove fish from refrigerator; dip 1 fillet in warm butter sauce,', 'coating well. Place fish in hot skillet, taking care that spits', 'and spatters do not burn you. Fish will sear and cook almost', 'immediately. Turn fillet over; blacken other side. Repeat with', 'remaining fillets.', 'Reserve remaining butter sauce. As fillets are cooked, place', 'them on individual plates; keep warm. Discard accumulated butter', 'sauce in skillet and charred bits between batches. When all', 'fillets have been cooked, wipe skillet clean and place empty', 'skillet back on heat. Add reserved butter sauce; carefully swirl', 'skillet 5 or 6 times to blacken butter. Remove pan from heat;', 'drizzle butter over each fillet. Garnish and serve hot.']]"
"Partridge Casserole
","[['6 partridge', '12 slices of bacon', '6 slices of cooked ham', '1/2 cup brandy', '1/2 cup butter', '3/4 cup beef stock', '2 1/4 cup orange juice', 'Salt and pepper, to taste']]","[['Preheat oven to 400F.', 'Clean, wash, stuff, and truss partridge. Cover breasts with bacon', 'slices. Line casserole with ham slices. Arrange birds in casserole,', 'then cover.', 'Cook over low heat for 15 minutes. Remove cover to pour brandy', 'over birds. Cover again and bake for 20 minutes at 400F. Remove', 'birds and ham. Skim off fat, then strain pan juices.', 'Gradually add butter and beef stock to juices, stirring constantly', 'while bringing them to a boil. Add orange juice, salt, and pepper.', 'Return birds and ham to sauce, then serve.']]"
"Venison Roast Marinated in Buttermilk
","[['Let roast sit a couple hours, then marinate in:', '4 sliced onions', '4-5 bay leaves', '6 cloves garlic, crushed', '1 teaspoon whole black peppercorns', 'Small stick of cinnamon', '1/2 gallon buttermilk'], ['Rub the roast well with a mixture of:', '1 tablespoon coarse ground black pepper', '2 teaspoons ground red chile pepper', '1 teaspoon thyme', '1 teaspoon sage', '1 tablespoon vinegar.'], ['4-5 pound venison leg roast']]","[['Drain roast, discard marinade. Brown roast well in a bit of bacon grease', 'in a dutch oven. Drain grease. Add a bottle of good beer or cider. Cover', 'and bake slowly, 300-325F for an hour or two. Add a couple onions,', 'carrots, a couple apples and a sweet potato or two. Add more beer,', 'cider or water to maintain liquid level. Continue to roast until', 'vegetables and roast are tender.', 'Serve with a green salad and corn bread.'], ['Place in refrigerater for 2-3 days, turning occasionally.']]"
"Chunky Oyster Chowder
","[['1 pint oysters', '1/4 cup melted butter', '1/2 cup sauteed sliced celery', '1 quart milk', '1 1/2 teaspoons salt', '1/8 teaspoon pepper', '1/2 teaspoon paprika', '1/2 cup sauteed chopped Onion', '1 can undrained whole kernel corn', '1 cup cooked diced potatoes']]","[['Open and save, or drain and save the oysters reserving the liquor.', 'Remove any remaining shell particles. Add oysters and liquor to butter', 'and cook for 3 minutes or until edges of oysters begin to curl. Add', 'milk, onion, celery, corn, potatoes, salt & pepper; heat thoroughly', 'but do not boil. Garnish with paprika. Serve at once.']]"
"Roast Goose with Baked Apples
","[['6 — 8 firm medium apples, cored', '1 cup mashed cooked sweet potatoes', '1/4 cup packed brown sugar', '2 tablespoons melted butter', '1/4 teaspoon salt', 'Dash of pepper', '1 whole wild goose, 6-8 pounds', 'Seasoned salt', 'Salt and pepper', '1 carrot, cut into 1-inch pieces', '1 stalk celery, cut into 1—-inch pieces', '1 medium onion, cut into 8 pieces', 'Apple brandy']]","[['Remove a thin strip of peel from the top of each apple. In', 'medium mixing bowl, combine remaining apple ingredients and', 'mix well.', 'Stuff apples with sweet potato mixture, mounding on top.', 'Place in shallow baking dish. Set apples aside. Heat oven to 325F.', 'Pat goose dry with paper towels. Sprinkle cavity lightly with', 'seasoned salt, salt, and pepper. Place carrot, celery, and', 'onion in cavity.', 'Tie drumsticks across cavity. Tuck wing tips behind back.', 'Place, breast side up, on rack in roasting pan. Sprinkle outside', 'of goose with seasoned salt, salt, and pepper.', 'Roast, basting frequently with pan juices and sprinkling', 'occasionally with brandy, until desired doneness, about 20-25', 'minutes per pound. Drain and discard excess fat during roasting.', 'Place stuffed apples in oven during last 30-45 minutes of', 'roasting. Baste apples frequently with goose drippings.', 'Remove apples when fork—-tender. Allow goose to rest 20', 'minutes before carving and serving.']]"
"Crawdad Gumbo
","[['1 pound crawdads, cooked & cleaned', '8 oz. salt pork, cubed small', '1/2 pound fresh (preferred) or frozen okra', '1 medium brown onion', '1 can whole tomatoes', '8 oz. frozen corn', '1 teaspoon parsley flakes', '1/2 teaspoon cayenne pepper', '1 pint half & half', '2 cups water', 'salt to taste', 'pepper to taste']]","[['In a large skillet, fry salt pork until browned. Add onion, cook', 'until tender, stirring often. Add water, okra, corn, tomatoes, and', 'all seasonings, simmer for 15-20 minutes. Add half & half, and', 'crawdads, simmer for 10 minutes.']]"
"California Wild Duck Stew
","[['1/4 |b. fresh mushrooms, sliced', '4 large tomatoes, peeled, seeded and quartered', '3 tablespoons butter', '1 large carrot, diced', '1 medium green bell pepper, diced', '1 medium onion, sliced', '1 cup chopped celery and leaves', '1 clove garlic, peeled and quartered', '1 cup pitted ripe olives', '1 tablespoon tomato paste', '1/4 cup olive oil', '2 cups dry red wine', '1 tablespoon Worcestershire sauce', '1/8 teaspoon cinnamon', '1/8 teaspoon ground cloves', '1/8 teaspoon allspice', '1/8 teaspoon mace', '1/8 teaspoon thyme', '1 bay leaf, crushed', '1 teaspoon salt', '1/4 teaspoon freshly-ground pepper', '4 wild ducks, plucked, drawn and cut into serving pieces', '20 small new potatoes']]","[['Saute mushrooms and tomatoes in 3 tablespoons butter for 3 minutes.', 'Combine with carrot, green pepper, onion, celery, garlic, olives,', 'tomato paste, olive oil, wine, Worcestershire, cinnamon, cloves,', 'allspice, mace, thyme, bay leaf, salt and pepper to make a marinade.', 'Add duck pieces and marinate overnight or for at least 10 hours.', 'Simmer duck in marinade 1 1/2 to 2 hours or until tender. Boil', 'potatoes in salted water for approximately 15 minutes or until tender.', 'Add to stew just before serving.']]"
"Chinese Venison
","[['2 lbs. venison steaks', '1/4 cup soy sauce', '1 cup beef bouillon', '1/4 teaspoon ginger', '2 cloves mashed garlic', '1/4 cup sherry', '4 tablespoons peanut oil', '2 cloves chopped garlic', '1 1/2 cups boiling water', '3 large green peppers, cut into 1/2 inch strips', '1 cup sliced water chestnuts', '3 tablespoons cornstarch', 'sesame oil', 'hot boiled rice']]","[['Cut meat against the grain into 1/2 inch strips (this is easier to do', 'if meat is partially frozen). Make a marinade for the meat by combining', 'soy sauce, bouillon, ginger, mashed garlic and sherry. Marinate steak', 'for 2-12 hours in the refrigerator. Dry meat on paper towels. Ina', 'wok, heat peanut oil and saute chopped garlic until it turns golden', 'brown. Remove, leaving at least 2 tablespoon oil in wok. Add meat', 'to oil and saute until brown (add just a dash of sesame oil to meat', ""while it's browning). Add reserved marinade and 1 cup boiling water."", 'Simmer 45 minutes or less time, if desired. When meat is tender,', 'remove and keep in warm oven. Pour marinade in separate pan and add', 'cornstarch. Add remaining 1/2 cup boiling water, if needed. Simmer', 'until thick. Stir-fry green pepper and water chestnuts in liquid', 'remaining in wok. Add meat and marinade gravy.', 'Add a dash of sesame oil to taste. Serve over boiled rice.']]"
"Panfish Creole
","[['1 1/2 lbs. panfish (Sunfish, bluegill, perch)', '1/4 cup flour', '1/3 cup cooking oil', '1 1/4 cup hot water', '1 - 8 oz. can tomato sauce', '1/2 cup chopped green onions and tops', '1/2 cup chopped parsley', '1/3 cup chopped green peppers', '5 small cloves garlic chopped fine', '2 teaspoons salt', '1/2 tespoon thyme', '1/4 teaspoon cayenne pepper', '2 whole bay leaves', '1 lemon slice', '2 1/2 cups cooked rice']]","[['Cut fish in one inch chunks. Coat fish in flour and brown', 'in oil stirring constantly. Add water gradually. Cook until', 'smooth and thisk stirring constantly. Add remaining ingredients', 'except rice. Cover and simmer for 20 minutes. Remove bay', 'leaves and serve over rice.']]"
"Ostrich and Shrimp in Roasted Garlic Sauce
","[['8 jumbo shrimp', '12 pieces of ostrich, sliced medallion size and then pounded', 'into scaloppini', '15-20 medium sized whole garlic cloves, peeled', '1/2 bottle of dry white wine (preferably Chardonnay)', '1 1/2 pints of heavy whipping cream', '1 medium sized red onion, finely chopped', '1/2 stick lightly salted butter', 'Salt and pepper to taste', '1 tbs. olive oil', '1/2 cup chicken stock']]","[['Prepare ostrich and set aside. Place garlic cloves in the oven', 'at 400F and bake until soft and brown (about 10-15 minutes). In', 'sauce pot, melt butter and saute onion until onion is fully cooked', '(about 5 minutes). Add wine and allow to cook until dry over medium', 'heat. When mixture has evaporated back down, add roasted garlic and', 'puree. Place back on heat and slowly add cream, salt and pepper.', 'Bring to slight boil and set aside.', 'In separate pan, heat olive oil add ostrich, sear on both sides', 'and set aside. Add shrimp and chicken stock to oil; saute until', 'cooked. Add ostrich and sauce.']]"
"Venison Bigos
","[['1/2 pound venison, cubed', '1/2 pound lean pork, cubed', '1/2 pound venison sausage, sliced 1/2” thick', '1/2 pound bacon, diced', '1 can beef broth, (10 1/2 oz)', '1 large onion, diced', '8 ounces fresh mushrooms, sliced', '1 cup red wine', '1 tablespoon mild paprika', 'salt and pepper, to taste', '2 cans sauerkraut, (32 oz total)']]","[['In a Dutch oven, fry the bacon until crisp, then remove and drain,', 'leaving grease in pan. Saute onion and mushrooms in drippings until', 'softened, then remove and drain them. Pour off all but 1/4 cup of', 'drippings. Brown the meats. Add the bacon, onions, mushrooms, and', 'remaining ingredients, except sauerkraut. Bring to a simmer, Stirring.', 'Cover and simmer for 2 hours. Add drained sauerkraut and simmer', '20 more minutes.']]"
"Fried Rocky Mountain Oysters
",[],"[['With a very sharp knife, split the tough skin-like muscle that', 'surrounds each ""oyster."" Remove the skin. Set ""oysters"" into a pan with', 'enough salt water to cover them for one hour (this takes out some of', 'the blood). Drain. Transfer ""oysters"" to large pot. Add enough water to', 'float ""oysters"" and a generous tablespoon of vinegar. Parboil, drain', 'and rinse. Let cool and slice each ""oyster"" into 1/4 inch thick ovals.', 'Sprinkle salt and pepper on both sides of sliced ""oyster"" to taste.', 'Mix flour, cornmeal and some garlic powder to taste in a bowl. Roll', 'each ""oyster"" slice into this dry mixture. Dip into milk. Dip into dry', 'mixture. Dip into wine quicky (you may repeat the procedure if a thicker', 'crust is desired). Place each ""oyster"" into hot lard or oil. Add', 'Louisiana Hot Sauce to lard or oil (go wild with it, buy watch out for', 'hot splashes). Cook until golden brown or tender, and remove with a', 'wire mesh strainer (the longer they cook, the tougher they get).'], ['2 pounds bull or sheep testicles', '1 cup flour', '1/4 cup cornmeal', '1 cup red wine', 'salt', 'black pepper', 'garlic powder', 'Louisiana Hot Sauce', 'pure hog lard or vegetable oil']]"
"Tarragon Trout
","[['2 trout with heads on (8-10 oz.)', '1/4 cup water', '1/4 cup olive oil', '1/2 tablespoon tarragon leaves', '1/2 cup white vinegar', '1 tablespoon Dijon mustard', '1/2 tablespoon minced shallots', '1/4 teaspoon salt', '1/4 teaspoon black pepper']]","[['Combine tarragon leaves and vinegar in a saucepan and bring to a', 'boil. Cool, and add the remaining ingredients. Pour the marinade', 'over the trout. Refrigerate for 3-4 hours. Cook the trout ona', 'charcoal grill for 3 to 4 minutes brushing occasionally with', 'marinade.']]"
"Pheasant in Spiced Sour Cream
",[],"[['Dust pieces of pheasant with flour and brown in butter. Mix sour', 'cream and water. Add remaining ingredients to sour cream mixture.', 'Pour sour cream mixture in a covered roaster and add pheasant.', 'Bake at 325F for several hours or until tender.'], ['1 Pheasant — Cut up', 'Flour', 'Butter', '8 oz. Sour Cream', '2 Cups Water', '2 teaspoons Worcestershire Sauce', 'Few drops Tabasco Sauce', '2 Bay Leaves', 'Dash Sweet Basil', 'Dash Rosemary', 'Salt and Pepper']]"
"Deviled Rabbit
","[['1 rabbit washed in water, then diced', '4 oz. fat bacon, finely chopped', '1 large onion finely chopped', '8 oz. mixed carrots, leeks and turnips — diced', '5 tbsp. flour', '1/2 cup milk', '2 cups water', '1 tsp. Worcester sauce', '1 tsp. curry powder', '1 tsp. salt', '1/2 tsp. pepper', 'finely chopped parsley for garnish']]","[['Saute the bacon in a large saucepan with the onion, carrots, turnips,', 'rabbit, curry powder and Worcester sauce for 2 or 3 minutes. Add the', 'water and bring to the boil. Season with salt and pepper and reduce', 'the heat to low. Simmer, covered, until the rabbit is tender about', '11/2 hours. Blend the milk and flour in a small bowl, stirring', 'continuously, and cook until the sauce is smooth and thick. Add more', 'salt and pepper if necessary, and serve at once, garnishing with', 'parsley.']]"
"Scotched Pheasant
","[['1 pheasant', '1 tablespoon Grey Poupon or other not-bright-yellow mustard', '1/4 cup olive oil', '1 tablespoon rosemary', ""1/4 cup scotch (wine will do if you don't have scotch)"", '1/4 cup chicken broth']]","[['Fillet the pheasant breast and cut off the legs (skinned).', 'Cover all four pieces in the mustard and brown them in olive oil ina', 'pan. Sprinkle the meat with the rosemary and add the scotch and', 'the chicken broth.', 'Bring the liquid to a boil, then lower the heat and cover. Simmer', 'for 7 to 8 minutes, then uncover. The breast pieces should be done.', 'Remove them and let the legs cook until the sauce thickens.']]"
"Trout with Red Onion and Orange Relish
","[['1 - 1 1/3-pound trout, boned, cut in half lengthwise', 'yellow cornmeal', 'salt and pepper to taste', '1 medium orange', '3 tablespoons chopped fresh mint', '2 tablespoons olive oil', '2/3 cup chopped red onion', '2 tablespoons white wine vinegar']]","[['Grate 1 teaspoon peel from orange. Cut off remaining peel and discard.', 'Cut orange into 1/2-inch pieces. Mix orange pieces, peel and mint in', 'small bowl. Heat 1/2 tablespoon oil in heavy large skillet over medium', 'heat. Add onion, then vinegar. Toss until just heated through, about', '1 minute. Add onion mixture to orange mixture (do not clean skillet).', 'Season relish with salt and pepper.', 'Sprinkle fish with salt and pepper. Sprinkle on all sides with cornmeal.', 'Heat remaining 1 1/2 tablespoons oil in same skillet over medium-high', 'heat. Add fish and saute until crisp outside and just opaque in center,', 'about 4 minutes per side. Transfer fish to plates; top with relish.']]"
"Cajun Frog Legs
","[['16 good sized frog legs', '1 cup shortening', '1/2 cup flour', '3 cups milk', '1 teaspoon paprika', '1/2 teaspoon onion powder', '1/2 teaspoon garlic juice', '1/2 teaspoon ground cayenne pepper', '1/4 teaspoon black pepper', 'dash of white pepper', 'dash of oregano', 'dash of rosemary', 'salt to taste']]","[['Skin, clean and rinse frog legs well. Cover with whole milk and garlic', 'juice in a plastic mixing bowl, refrigerate overnight. Pat dry, season', 'with paprika, onion powder, cayenne, black pepper, and desired amount', 'of salt.', 'Add white pepper, oregano, and rosemary to the flour. Heat shortening', 'in a skillet. Lightly flour the frog legs and fry until golden brown.']]"
"Carolina Roast Venison
","[['Barbecue Sauce:', '1 tablespoon black pepper', '1 tablespoon salt', '1 small box dry mustard', '1/4 cup sugar', '1/4 cup vinegar', '1/4 cup water', '1 stick butter/margarine'], ['5 pounds venison roast', '1 onion, chopped', '1/4 cup barbecue sauce, see below', '1 tablespoon salt', '2 tablespoon vinegar', 'black pepper']]","[['For sauce: Mix dry ingredients. Add vinegar, water and mix. Bring to', 'full boil and add stick of butter and continue to cook until butter', 'melts. This makes 1 Pint of the Sauce.', 'Soak venison in water, vinegar and salt for 4-5 hours. Remove and', 'wipe dry. Sprinkle lightly with pepper and brush with sauce. Add onion', 'and enough water to cover bottom of covered roaster. Bake in 325F oven', 'the first hour; then lower heat to 275 F for an additional 3 hours.', 'Baste often with sauce and juices from roast.']]"
